Type,Name,SKU,Description,KGs,Selling Price - Old,Decor,Storage,Outdoor,Beds,Lighting,Tables,Chairs,Sofas,Selling Price - New,Discounted
Tufty,"Tufty Module, Extra Large Left Arm, Royal Blue Wool",5443,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",63,3165.00,,,,,,,,3418.00,3418.00,1709.00
Tufty,"Tufty Module, Extra Large Left Arm, Light Gray Wool",5442,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",63,3165.00,,,,,,,,3418.00,3418.00,1709.00
Tufty,"Tufty Module, Deep Right Corner Half, Royal Blue Wool",4338,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3332.00,,,,,,,,3458.00,3458.00,1729.00
Tufty,"Tufty Module, Deep Right Corner Half, Light Gray Wool",4334,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3332.00,,,,,,,,3458.00,3458.00,1729.00
Tufty,"Tufty Module, Deep Right Arm, Royal Blue Wool",4314,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3165.00,,,,,,,,3158.00,3158.00,1579.00
Tufty,"Tufty Module, Deep Right Arm, Light Gray Wool",4310,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3165.00,,,,,,,,3158.00,3158.00,1579.00
Tufty,"Tufty Module, Deep Left Corner Half, Royal Blue Wool",4326,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3332.00,,,,,,,,3458.00,3458.00,1729.00
Tufty,"Tufty Module, Deep Left Corner Half, Light Gray Wool",4322,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3332.00,,,,,,,,3458.00,3458.00,1729.00
Tufty,"Tufty Module, Deep Left Arm, Royal Blue Wool",4302,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3165.00,,,,,,,,3358.00,3358.00,1679.00
Tufty,"Tufty Module, Deep Left Arm, Light Gray Wool",4298,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",55,3165.00,,,,,,,,3358.00,3358.00,1679.00
Tufty,"Tufty Module, Deep Large Right Arm, Royal Blue Wool",5441,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",68,3499.00,,,,,,,,3658.00,3658.00,1829.00
Tufty,"Tufty Module, Deep Large Right Arm, Light Gray Wool",5440,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",68,3499.00,,,,,,,,3658.00,3658.00,1829.00
Tufty,"Tufty Module, Deep Large Left Arm, Royal Blue Wool",5439,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",68,3499.00,,,,,,,,3658.00,3658.00,1829.00
Tufty,"Tufty Module, Deep Large Left Arm, Light Gray Wool",5438,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",68,3499.00,,,,,,,,3658.00,3658.00,1829.00
Thonet,"Thonet Side Chair, Oak",2798,"Made from solid oak with a stunning, visible grain, the Thonet Side Chair from 4orm4 seamlessly combines practicality with captivating design. Lightweight and easy to maneuver, this chair sports a bent wood construction that highlights its Thonet-inspired bistro allure paired with a hint of rustic elegance. The rounded cane seat offers both comfort and style, making it a versatile gem for dining rooms and kitchens. The oak's light finish fits beautifully with various decor themes, while the open back design brings an airy, uncluttered vibe to any space. Perfect for everyday use, this chair is more than just furniture—it's a celebration of timeless design and exceptional craftsmanship.",5,415.00,,,,,,,338.00,,338.00,169.00
Trio,"Trio Side Table, Ash",1274,"Made from solid ash and featuring elegant traditional turnings, the Trio Side Table blends modern style with the rich design heritage of the 20th century. This versatile table fits seamlessly into both vintage-inspired settings and modern spaces. Built with three sturdy stretchers for lasting stability, it's a dependable piece that can serve as an end table or a plant stand, perfect for your living room, sunroom, office, or bedroom.",9,415.00,,,,,,298.00,,,298.00,149.00
Thyme Luxe Velvet,,,,,,,,,,,,,,0.00,0
Teal Stripe Jersey,,,,,,,,,,,,,,0.00,0
Tarragon Vegan Suede,,,,,,,,,,,,,,0.00,0
Tay,"Tay Chair, Midnight Black Premium Leather",1699,"The Tay Chair boasts a sleek and bold design that's sure to catch the eye. Its clean lines and solid build make a statement, while the angular legs are artfully balanced by a curved backrest crafted for comfort. Upholstered in luxuriously smooth Italian aniline leather, this chair exudes quality. The leather's natural elegance is enhanced by a powder-coated metal finish, offering exceptional durability against everyday wear and tear. Named for the distinct 'T' shape formed at the intersection of its metal legs and backrest, the Tay Chair embodies simplicity and elegance, making it a perfect fit for any chic, unfussy interior. Brought to you by 4orm4, this chair promises both longevity and timeless style.",18,1332.00,,,,,,,1018.00,,1018.00,509.00
Tan Vegan Leather,,,,,,,,,,,,,,0.00,0
Stone Luxe Velvet,,,,,,,,,,,,,,0.00,0
Spice Velvet,,,,,,,,,,,,,,0.00,0
Soft Gray Brushed Weave,,,,,,,,,,,,,,0.00,0
Shaker,"Shaker Armchair, Walnut",1542,"The Shaker Armchair beautifully captures the essence of mid-century modern design, celebrated for its graceful simplicity and comfort that fits naturally with the human form. Inspired by the Shaker tradition, which is renowned for its straightforward elegance, crisp lines, and practical allure, this chair radiates a timeless charm. At the same time, it offers a fresh, modern twist on these classic design principles.",6,582.00,,,,,,,1238.00,,1238.00,619.00
Scarlet Wool,,,,,,,,,,,,,,0.00,0
Red Stripe Jersey,,,,,,,,,,,,,,0.00,0
Rose,"Rose Dining Chair, Mushroom Velvet and Walnut",2625,"Discover the exquisite elegance of the Rose Dining Chair, brought to you by 4orm4. This chair represents the perfect blend of contemporary style and classic allure, elevating it beyond mere functionality to a true statement of sophistication and comfort. At the heart of its design is a strong yet graceful walnut frame, radiating warmth and charm with each beautiful curve. The rich, natural tones of the walnut wood introduce a hint of opulence to any dining area, enhancing the overall sense of refined luxury. The arms are thoughtfully contoured and elegantly sculpted, offering both visual allure and exceptional support, inviting you to sit back, relax, and enjoy each moment to the fullest.",13,665.00,,,,,,,858.00,,858.00,429.00
Red Jersey,,,,,,,,,,,,,,0.00,0
Poet,"Poet Sofa, Wheat Gray Cashmere Wool",4761,"The Poet Sofa is a charming piece inspired by the mid-century Danish design, featuring a soft and inviting gray wool upholstery in warm tones. Its sculptural form, complemented by gentle curves, creates a cozy and intimate atmosphere, making it both eye-catching and welcoming for anyone who takes a seat. The backrest is adorned with button detailing that adds a touch of elegance, while the rounded club legs crafted from dark wood provide a secure and stylish base. This sofa is a perfect fit for any modern interior, seamlessly blending form with function. Its sleek, minimalist design makes it an excellent choice for those seeking to enhance their space with a piece that delivers both comfort and a nod to timeless mid-century charm.",38,2832.00,,,,,,,,1838.00,1838.00,919.00
Porto,"Porto Table Lamp, Portable, Gold",2256,"The Porto Table Lamp from 4orm4 beautifully merges modern style with practical design, making it a versatile addition to any space. This lamp is characterized by its sleek lines and minimalist profile, providing not just light, but also an eye-catching accent that easily fits into a range of interior décors. Its unique design prioritizes both simplicity and sophistication. Meticulously crafted, every part of this lamp adds to its visual charm. From the thoughtfully chosen materials for the base, shade, and handle, to its cohesive and elegant design, the Porto Table Lamp enhances the atmosphere of any room it graces.",0,132.00,,,,,58.00,,,,58.00,29.00
PK22,"PK22 Lounge Chair, Natural Rattan",2854,"The PK22 Chair is a true classic in Danish design, revered for its sleek, minimalist elegance and outstanding craftsmanship. Drawing inspiration from the iconic styles of the 1950s, this chair perfectly captures the spirit of Scandinavian modernism with its neat lines, practical form, and top-quality materials. The PK22 is known for its straightforward design and practicality. Its lightweight frame and minimalist silhouette make it incredibly flexible and suitable for a wide range of settings, whether in homes, offices, or public areas. Its enduring design keeps it a favorite among design enthusiasts, remaining stylish and sought-after through the years.",9,2165.00,,,,,,,1378.00,,1378.00,689.00
Papa Bear,"Papa Bear Lounge Chair, Indigo Blue Wool",4661,"Meet the Papa Bear Chair, a true gem of mid-century modern design crafted by 4orm4. This chair beautifully combines style, expert craftsmanship, and ultimate comfort. An emblem of mid-century modern aesthetics and luxurious coziness, it's an ideal centerpiece for any living area, whether your space is contemporary or timeless.",33,2665.00,,,,,,,2358.00,,2358.00,1179.00
Papa Bear,"Papa Bear Ottoman, Light Gray Wool and Walnut",2147,"Meet the Papa Bear Ottoman, a perfect partner to the renowned mid-century modern chair, lovingly crafted by 4orm4. This outstanding ottoman is a harmonious blend of timeless style, expert craftsmanship, and indulgent comfort. It embodies the essence of mid-century modern design while offering unmatched warmth, effortlessly enhancing both contemporary and traditional living areas.",5,832.00,,,,,,,698.00,,698.00,349.00
Ox,"Ox Ottoman, Wheat Gray Cashmere Wool",4653,"Add the perfect finishing touch to your seating area with the Ox Ottoman. Taking cues from mid-century Scandinavian design, this ottoman brings a sense of enduring elegance and refinement to any room. Its chic and streamlined shape combined with exceptional comfort is sure to enhance your living space.",9,665.00,,,,,,,458.00,,458.00,229.00
Ox,"Ox Chair, Wheat Gray Cashmere Wool",4652,"The Ox Chair, inspired by the classic mid-century Scandinavian design, beautifully captures the timeless appeal of enduring aesthetics. Known for its striking, sculptural shape and unmatched comfort, the Ox Chair epitomizes modern sophistication. Crafted with the utmost attention to detail, it exemplifies a perfect balance of form and function. Its unique silhouette, defined by flowing curves and sharp angles, conveys a feeling of dynamic motion and natural elegance.",39,2832.00,,,,,,,1638.00,,1638.00,819.00
Orielle,"Orielle Suspension Light, Small, Tan and Brass",2284,"Brighten up your home with the Orielle Suspension Light from 4orm4, a contemporary gem that charms with its distinctive design and outstanding functionality. Meticulously crafted, this ceiling light embodies modern aesthetics, effortlessly merging minimalist elegance with practical use. With various sizes to choose from, the Orielle Suspension Light caters to different spaces and design tastes. Whether you wish to make a bold statement or prefer a subtle touch, you'll find just the right size for your space. Opt for the Orielle Suspension Light alone for a sleek and minimalist vibe, or mix several together in creative arrangements for a breathtaking visual effect.",1,332.00,,,,,1058.00,,,,1058.00,529.00
Orielle,"Orielle Suspension Light, Medium, Tan and Brass",2285,"Brighten up your home with the Orielle Suspension Light from 4orm4, a contemporary gem that charms with its distinctive design and outstanding functionality. Meticulously crafted, this ceiling light embodies modern aesthetics, effortlessly merging minimalist elegance with practical use. With various sizes to choose from, the Orielle Suspension Light caters to different spaces and design tastes. Whether you wish to make a bold statement or prefer a subtle touch, you'll find just the right size for your space. Opt for the Orielle Suspension Light alone for a sleek and minimalist vibe, or mix several together in creative arrangements for a breathtaking visual effect.",2,415.00,,,,,178.00,,,,178.00,89.00
Orielle,"Orielle Suspension Light, Large, Tan and Brass",2286,"Brighten up your home with the Orielle Suspension Light from 4orm4, a contemporary gem that charms with its distinctive design and outstanding functionality. Meticulously crafted, this ceiling light embodies modern aesthetics, effortlessly merging minimalist elegance with practical use. With various sizes to choose from, the Orielle Suspension Light caters to different spaces and design tastes. Whether you wish to make a bold statement or prefer a subtle touch, you'll find just the right size for your space. Opt for the Orielle Suspension Light alone for a sleek and minimalist vibe, or mix several together in creative arrangements for a breathtaking visual effect.",2,499.00,,,,,178.00,,,,178.00,89.00
Orange Luxe Velvet,,,,,,,,,,,,,,0.00,0
Olive Gold Velvet,,,,,,,,,,,,,,0.00,0
Oo,"Oo Table Lamp, Pink",2274,"The Oo table lamp from 4orm4 truly stands out in the world of modern lighting design. It beautifully marries form and function, presenting a look that's as captivating as it is practical. Its sleek, organic lines and minimalist style make it a visual delight, while its glow brings warmth and a welcoming vibe to any space. Whether used as a charming focal point or a functional light, this lamp adds both elegance and coziness to your surroundings.",2,499.00,,,,,198.00,,,,198.00,99.00
Oka,"Oka Ceiling Lamp, Black and Natural Rattan",1966,"Discover the Oka Ceiling Lamp, a perfect blend of traditional craftsmanship and modern design with hints of Asian inspiration, brought to you by 4orm4. This exquisite piece is masterfully crafted to become a true standout in any room. Its most captivating feature is the cane diffuser, an elegant nod to the enduring art of caning. Whether adorning your living room, dining area, or bedroom, this lamp envelops your surroundings with a soft, inviting light, creating a welcoming atmosphere for any moment.",2,665.00,,,,,238.00,,,,238.00,119.00
Oatmeal Brushed Weave,,,,,,,,,,,,,,0.00,0
Noom,"Noom Dining Table, Light Oak, 201cm",2819,"The Noom Dining Table is a beautifully crafted piece that brings a modern yet elegant vibe to any dining room. Made from oak with a light finish, it showcases solid oak legs with a unique deep curve, creating a flat base that gracefully supports the tabletop. The tabletop is designed with a chamfered edge, adding to the table’s clean and straightforward appeal. This table comfortably seats six, and can accommodate up to eight, making it ideal for cozy dinners or larger gatherings alike. The lovely oak veneer surface adds a dash of natural charm, making it the perfect centerpiece for any dining area. For a cohesive Scandinavian-inspired look, pair this table with fabric chairs in soothing, neutral colors, or choose darker chairs to create a sophisticated contrast.",71,2999.00,,,,,,2438.00,,,2438.00,1219.00
Mocha Velvet,,,,,,,,,,,,,,0.00,0
Mia,"Mia Loveseat, Wheat Gray Cashmere Wool",4755,"The Mia Loveseat is where contemporary flair meets supreme comfort. This piece showcases a deeply cushioned seat, paired with a padded backrest and arms that feature expertly pulled corners, creating a plush, pillow-like sensation. The inviting mid-toned grey upholstery serves as a neutral canvas, effortlessly warming up any room. Subtle piping accents along the arms and backrest add to its stylish appeal, highlighting its clean lines.

With a higher seat-to-back ratio, the Mia Loveseat provides a supportive, cozy seating experience, all wrapped up in a sleek, modern silhouette. Its low-profile legs offer a discreet charm, ensuring that the minimalist design takes center stage. It's the perfect fit for any contemporary living space, seamlessly blending in while offering undeniable style and comfort.",35,2999.00,,,,,,,,6198.00,6198.00,3099.00
Maroon Velvet,,,,,,,,,,,,,,0.00,0
Bellini Sofa,"Mario Bellini Two Seater Sofa, Tan Vegan Leather",5283,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",60,5499.00,,,,,,,,4178.00,4178.00,2089.00
Bellini Sofa,"Mario Bellini Two Seater Sofa, Jadeite Luxe Velvet",4060,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",60,5499.00,,,,,,,,4118.00,4118.00,2059.00
Bellini Sofa,"Mario Bellini Two Seater Sofa, Greige Velvet",5282,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",60,4999.00,,,,,,,,4118.00,4118.00,2059.00
Bellini Sofa,"Mario Bellini Two Seater Sofa, Black Velvet",5280,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",60,4999.00,,,,,,,,4118.00,4118.00,2059.00
Bellini Sofa,"Mario Bellini Two Seater Sofa, Black Boucle",5279,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",60,5499.00,,,,,,,,4178.00,4178.00,2089.00
Bellini Sofa,"Mario Bellini Three Seater Sofa, Tan Vegan Leather",5278,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",102,7832.00,,,,,,,,6018.00,6018.00,3009.00
Bellini Sofa,"Mario Bellini Three Seater Sofa, Jadeite Luxe Velvet",4066,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",102,7665.00,,,,,,,,5918.00,5918.00,2959.00
Bellini Sofa,"Mario Bellini Three Seater Sofa, Greige Velvet",5277,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",102,7165.00,,,,,,,,5918.00,5918.00,2959.00
Bellini Sofa,"Mario Bellini Three Seater Sofa, Black Velvet",5275,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",102,7165.00,,,,,,,,5918.00,5918.00,2959.00
Bellini Sofa,"Mario Bellini Three Seater Sofa, Black Boucle",5274,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",102,7665.00,,,,,,,,6018.00,6018.00,3009.00
Bellini Sectional,"Mario Bellini Sectional, Small Right Corner, Tan Vegan Leather",5263,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",119,8332.00,,,,,,,,6998.00,6998.00,3499.00
Bellini Sectional,"Mario Bellini Sectional, Small Right Corner, Light Gray Velvet",3309,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",119,7999.00,,,,,,,,6898.00,6898.00,3449.00
Bellini Sectional,"Mario Bellini Sectional, Small Right Corner, Jadeite Luxe Velvet",4067,"Dive into the nostalgic charm of the 1970s with the Bellini, a sectional that offers both flexibility and a refreshing departure from bulky furniture styles. Perfect for open-plan living, this modern beauty allows you to transform your space according to your mood and needs, without the hassle of redecorating.

Once again adored by a new generation of furniture enthusiasts, the Bellini is celebrated for its versatility and liberating design. Thanks to its tie rods and rings, you can effortlessly detach and rearrange its modules, giving you the freedom to tailor the sofa to your changing tastes and whims.

Built with a sturdy wooden frame and cushioned with cold-pressed foam that's enveloped in a soft fabric, this low-profile piece embodies relaxed luxury. Each plush cushion invites you to sink in and unwind, making it the perfect spot to lounge in style.",119,8332.00,,,,,,,,6898.00,6898.00,3449.00
